Certificate Holder ID,Certificate ID,Crop,Estimated harvested volume
CHE4239D,LI001DEE,Coffee,1058865
CH142BF2,LI002B6D,Coffee,303600
CH890328,LI005067,Coffee,846322.4
CH698EFE,LI00A06B,Coffee,702504
CH509C15,LI00E549,Coffee,2246951.1999999997
CHF43B8B,LI00FA3C,Coffee,3673228.8000000003
CH5C6762,LI0104FE,Coffee,577905.6
CHC786E2,LI019FC9,Cocoa,409000
CH6EF2C8,LI01E1F2,Coffee,2560000
CHF0B46C,LI0217B3,Coffee,1200000
CH67BCB5,LI0257FE,Coffee,348000
CH2E1DBE,LI025BCE,Coffee,227743.99999999997
CHB5B503,LI027F18,Coffee,2400000
CH2857C8,LI02BE3B,Coffee,276980
CH60C2BE,LI02CCAE,Coffee,3452040
CH7B989D,LI02D5F2,Coffee,960000
CH611D28,LI02EE87,Coffee,4153037.0000000005
CH62D804,LI031DB9,Coffee,197998
CHCD49FC,LI0345B8,Coffee,432000
CH6AEDF2,LI03728E,Coffee,27000
CH1F8F4F,LI0399EF,Cocoa,253665
CH1F8F4F,LI0399EF,Coffee,1156988
CHE27973,LI03D283,Coffee,168000
CHB5B503,LI0493A0,Coffee,1080000
CHA1BC36,LI05254B,Coffee,4031214.4
CH8CC71D,LI06297B,Coffee,689148.8
CHB82F0C,LI0687F9,Coffee,1987200.0000000002
CHB9D47C,LI068AB0,Coffee,6515659.2
CH7C7D02,LI071A93,Coffee,606417.6000000001
CHF2006D,LI073C37,Coffee,1222980
CH3EBFC7,LI078DBC,Coffee,1554000.0000000002
CH9547A6,LI07ADF3,Coffee,1093282.4
CH9DF0C8,LI07AEE0,Coffee,636000
CHE71B60,LI07D29C,Coffee,251700.00000000003
CH43A1B7,LI083587,Coffee,45000
CHC2F5E4,LI089FB3,Coffee,704940
CH01E782,LI08B89B,Coffee,215568
CH783EFE,LI08BEEF,Coffee,212092
CH11CAE3,LI08C713,Coffee,1623059.9999999998
CHC786E2,LI08CF4D,Cocoa,297000
CHCC4916,LI08DDC1,Coffee,375930
CHAC726B,LI08E78C,Coffee,832352
CHF41278,LI08E96A,Coffee,219770
CH5E1AD2,LI08EB70,Coffee,1770000.0000000002
CH7EFB7E,LI090742,Coffee,680408
CHF84FA9,LI094D97,Coffee,108000
CH6D24D3,LI0970DF,Coffee,100199.99999999999
CH608E2F,LI09CAB2,Coffee,245042.4
CH511289,LI09D52B,Coffee,323687.2
CH0EF35D,LI0AC45B,Coffee,480000
CH4586D9,LI0B0A37,Coffee,1200240
CH59BE36,LI0B2436,Coffee,1528017.6
CHBDC29E,LI0B3691,Coffee,80400
CHAFF436,LI0B914A,Coffee,1140000
CHABF308,LI0BCEC1,Coffee,11355861
CHA5D2AB,LI0BD4DF,Coffee,0.8
CH9EAB22,LI0BF372,Coffee,854188
CHBFA9A6,LI0C0A31,Coffee,1562572
CHD0528D,LI0C5877,Coffee,1484305
CH3D0609,LI0C6E66,Coffee,90000
CHC84164,LI0CCC0B,Cocoa,86000
CH4451D5,LI0D064C,Coffee,2153879
CHB73144,LI0D69D0,Coffee,3904010.4
CH60E7C8,LI0D94F0,Coffee,1254000
CH85B1B2,LI0DE170,Coffee,374280
CHC1CED5,LI0E0FBC,Coffee,216000
CHCB9EB4,LI0E1CCB,Coffee,468000
CH2622D3,LI0EA0C6,Coffee,1371402
CH185051,LI0EFF0C,Coffee,1164559.2
CHD7530F,LI0F7AFC,Coffee,316080
CH6EFC4D,LI0FCBEA,Coffee,396000.00000000006
CHAD27E6,LI106501,Coffee,131693.6
CH0AF787,LI11108A,Coffee,110000
CH063180,LI127D1D,Coffee,5982480
CH39F78B,LI129578,Coffee,4249255.2
CHA1C089,LI12B24F,Coffee,3000000
CHB53EF9,LI12D348,Coffee,2000000
CH80CB4A,LI12E28B,Coffee,480480
CHAB2EA3,LI12E5B2,Coffee,310592
CHF96F06,LI12E768,Coffee,2191800
CHB2C2DB,LI130B02,Coffee,187800
CH8387CF,LI130F69,Tea,16972.780000000002
CH11741E,LI142FFF,Coffee,180000
CH9CA6D8,LI148301,Cocoa,3238998.9999999995
CH20275C,LI14C1AD,Coffee,360000
CH6042E3,LI1551E6,Coffee,661770
CH9CD13F,LI1613F5,Coffee,4113347.2
CH061900,LI16F84C,Coffee,2619297.6
CH7B8362,LI17256A,Coffee,15494856
CHC987B0,LI182604,Coffee,943200
CH6C6389,LI188291,Coffee,594407.2000000001
CH79AD98,LI18E781,Coffee,1035520
