Certificate Holder ID,Certificate ID,Country,Certificate Type,Certificate end date,Certificate start date,Error
CH0690AC,LI96D6D1,Country B,,2023-09-20 00:00:00,2022-07-20 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH0BDB3B,LIF27817,Country A,,2023-12-09 00:00:00,2022-12-10 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH12D283,LI44D99E,Country D,,2024-06-22 00:00:00,2023-06-23 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH14065B,LIBF7037,Country D,,2023-05-02 00:00:00,2022-05-02 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH1810CB,LI82F146,Country A,,2023-12-05 00:00:00,2022-12-05 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH1C67AC,LID76332,Country D,,2024-06-06 00:00:00,2023-06-07 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH23177B,LIDC6CB6,Country D,,2023-12-06 00:00:00,2022-12-07 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH27E883,LIFE7F42,Country B,,2024-02-21 00:00:00,2022-11-21 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH30A064,LI7CEE0E,Country D,,2024-02-01 00:00:00,2023-02-03 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH3130BF,LI5A3413,Country C,,2023-11-28 00:00:00,2022-11-28 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH3224F5,LI7195D7,Country C,,2024-11-14 00:00:00,2023-11-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH340957,LIB20396,Country C,,2024-11-14 00:00:00,2023-11-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH369DB4,LI7A4172,Country D,,2022-11-30 00:00:00,2021-11-30 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH38581D,LI3C0055,Country A,Group Of Small Farms,1900-01-01 00:00:00,1900-01-01 00:00:00,Invalid Certificate Dates
CH3A1AE2,LI6DB99D,Country B,,2022-10-01 00:00:00,2021-10-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH3BE546,LIE58A26,Country B,,2023-08-01 00:00:00,2022-10-03 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH400139,LI2D09AA,Country A,,2024-07-04 00:00:00,2023-04-04 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH47DC50,LIFA3B39,Country C,,2023-11-01 00:00:00,2022-11-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH4A80D1,LI4B5FC4,Country A,,2023-12-01 00:00:00,2023-09-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH511289,LI790B36,Country C,,2023-10-16 00:00:00,2022-10-16 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH51738F,LI823F68,Country A,Group Of Small Farms,1900-01-01 00:00:00,1900-01-01 00:00:00,Invalid Certificate Dates
CH5BA6E9,LIEF2FDC,Country A,,2024-01-25 00:00:00,2023-01-26 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH5C3AA0,LI620092,Country D,,2024-10-31 00:00:00,2023-11-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH5C3AA0,LI9815E5,Country D,,2023-10-31 00:00:00,2022-10-31 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH5EFE65,LI628283,Country D,,2024-06-23 00:00:00,2023-06-24 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH67AAB3,LIADF7E5,Country A,,2023-12-25 00:00:00,2022-12-26 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH67FFC8,LIC99CAB,Country B,,2024-06-13 00:00:00,2023-06-14 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH6BE80A,LI737CD1,Country B,,2023-07-22 00:00:00,2022-07-23 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH6DA777,LI9E659E,Country D,,2023-11-13 00:00:00,2022-11-14 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH6F9956,LICCC486,Country D,,2025-02-16 00:00:00,2024-02-17 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH74E25A,LIFB8040,Country C,,2024-11-15 00:00:00,2023-11-16 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH76E0F0,LIDD25AF,Country B,,2024-05-14 00:00:00,2023-05-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH77B506,LI7CAAA5,Country A,,2024-04-02 00:00:00,2022-10-02 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH7D0F11,LIDD8F47,Country A,,2022-09-22 00:00:00,2021-09-22 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH7EFB7E,LI41BC9E,Country A,,2024-09-09 00:00:00,2023-09-10 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH80F2BE,LIC4E86F,Country D,,2025-01-31 00:00:00,2024-02-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CH878B1C,LI197C8B,Country D,,2023-05-30 00:00:00,2022-05-31 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
